Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Regulator Topology,Voltage - Output,Current - Output,Voltage - Dropout (Typical),Number of Regulators,Voltage - Input,Current - Limit (Min),Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Stock,Query,Package,Device
http://www.micrel.com/_PDF/mic2950.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,576-2245-ND,MIC2951-03YMM,Micrel Inc,IC REG LDO 5V/ADJ 0.15A 8MSOP,4632,0,1.54,0,1,Tube,-,Positive Fixed or Adjustable,"5V, 1.24 V ~ 29 V",150mA,0.3V @ 150mA,1,2 V ~ 30 V,-,-40°C ~ 125°C,Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",8-MSOP,,,SOP65P495X110-8L30_HS,
http://www.micrel.com/_PDF/mic2950.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,576-1149-1-ND,MIC2951-03YM TR,Micrel Inc,IC REG LDO 5V/ADJ 0.15A 8SOIC,4619,0,1.3,0,1,Cut Tape (CT),-,Positive Fixed or Adjustable,"5V, 1.24 V ~ 29 V",150mA,0.3V @ 150mA,1,2 V ~ 30 V,-,-40°C ~ 125°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,,SOIC127P600X175-8L86_HS,
http://www.micrel.com/_PDF/mic2950.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,576-2244-ND,MIC2951-03YM,Micrel Inc,IC REG LDO 5V/ADJ 0.15A 8SOIC,1197,0,1.26,0,1,Tube,-,Positive Fixed or Adjustable,"5V, 1.24 V ~ 29 V",150mA,0.3V @ 150mA,1,2 V ~ 30 V,-,-40°C ~ 125°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,,SOIC127P600X175-8L86_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-2998-1-ND,MIC5225YM5 TR,Micrel Inc,IC REG LDO ADJ 0.15A SOT23-5,7057,0,0.9,0,1,Cut Tape (CT),-,Positive Adjustable,1.24 V ~ 14 V,150mA,0.31V @ 150mA,1,2.3 V ~ 16 V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-2999-1-ND,MIC5225-5.0YM5 TR,Micrel Inc,IC REG LDO 5V 0.15A SOT23-5,3054,0,0.9,0,1,Cut Tape (CT),-,Positive Fixed,5V,150mA,0.31V @ 150mA,1,Up to 16V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-3017-1-ND,MIC5225-1.8YM5 TR,Micrel Inc,IC REG LDO 1.8V 0.15A SOT23-5,5969,0,0.9,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,150mA,0.31V @ 150mA,1,Up to 16V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-2979-1-ND,MIC5225-3.0YM5 TR,Micrel Inc,IC REG LDO 3V 0.15A SOT23-5,4226,0,0.9,0,1,Cut Tape (CT),-,Positive Fixed,3V,150mA,0.31V @ 150mA,1,Up to 16V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-3005-1-ND,MIC5225-2.5YM5 TR,Micrel Inc,IC REG LDO 2.5V 0.15A SOT23-5,4707,0,0.9,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,150mA,0.31V @ 150mA,1,Up to 16V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-3013-1-ND,MIC5225-1.5YM5 TR,Micrel Inc,IC REG LDO 1.5V 0.15A SOT23-5,2880,0,0.9,0,1,Cut Tape (CT),-,Positive Fixed,1.5V,150mA,0.31V @ 150mA,1,2.3 V ~ 16 V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-2978-1-ND,MIC5225-2.7YM5 TR,Micrel Inc,IC REG LDO 2.7V 0.15A SOT23-5,2300,0,0.9,0,1,Cut Tape (CT),-,Positive Fixed,2.7V,150mA,0.31V @ 150mA,1,Up to 16V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.micrel.com/_PDF/mic5225.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-SOT-23-5.jpg,576-2980-1-ND,MIC5225-3.3YM5 TR,Micrel Inc,IC REG LDO 3.3V 0.15A SOT23-5,1940,0,0.9,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,150mA,0.31V @ 150mA,1,Up to 16V,-,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.analog.com/media/en/technical-documentation/data-sheets/ADP667.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,ADP667ARZ-ND,ADP667ARZ,Analog Devices Inc,IC REG LDO 5V/ADJ 0.25A 8SOIC,283,0,4.55,0,1,Tube,-,Positive Fixed or Adjustable,"5V, 1.3 V ~ 16 V",250mA,0.15V @ 200mA,1,3.5 V ~ 16.5 V,-,-40°C ~ 85°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,,SOIC127P600X175-8L86_HS,
http://www.analog.com/media/en/technical-documentation/data-sheets/ADP667.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,ADP667ARZ-REEL7CT-ND,ADP667ARZ-REEL7,Analog Devices Inc,IC REG LDO 5V/ADJ 0.25A 8SOIC,556,0,4.68,0,1,Cut Tape (CT),-,Positive Fixed or Adjustable,"5V, 1.3 V ~ 16 V",250mA,0.15V @ 200mA,1,3.5 V ~ 16.5 V,-,-40°C ~ 85°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,,SOIC127P600X175-8L86_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15800-1-ND,TPS73101DBVT,Texas Instruments,IC REG LDO ADJ 0.15A SOT23-5,3775,10000,1.23,0,1,Cut Tape (CT),-,Positive Adjustable,1.2 V ~ 5.5 V,150mA,0.03V @ 150mA,1,1.7 V ~ 5.5 V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-27059-1-ND,TPS73118DBVR,Texas Instruments,IC REG LDO 1.8V 0.15A SOT23-5,1789,3000,1.07,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15803-1-ND,TPS73125DBVT,Texas Instruments,IC REG LDO 2.5V 0.15A SOT23-5,1966,10000,1.23,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-37688-1-ND,TPS73130DBVR,Texas Instruments,IC REG LDO 3V 0.15A SOT23-5,2986,9000,1.07,0,1,Cut Tape (CT),-,Positive Fixed,3V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-32553-1-ND,TPS73133DBVR,Texas Instruments,IC REG LDO 3.3V 0.15A SOT23-5,7755,9000,1.07,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15806-1-ND,TPS73150DBVT,Texas Instruments,IC REG LDO 5V 0.15A SOT23-5,872,10000,1.23,0,1,Cut Tape (CT),-,Positive Fixed,5V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-32554-1-ND,TPS73201DBVR,Texas Instruments,IC REG LDO ADJ 0.25A SOT23-5,10577,6000,1.46,0,1,Cut Tape (CT),-,Positive Adjustable,1.2 V ~ 5.5 V,250mA,0.04V @ 250mA,1,1.7 V ~ 5.5 V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-41770-1-ND,TPS73218DBVR,Texas Instruments,IC REG LDO 1.8V 0.25A SOT23-5,3000,0,1.46,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15810-1-ND,TPS73225DBVT,Texas Instruments,IC REG LDO 2.5V 0.25A SOT23-5,1601,10000,1.68,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-41771-1-ND,TPS73230DBVR,Texas Instruments,IC REG LDO 3V 0.25A SOT23-5,2982,3000,1.46,0,1,Cut Tape (CT),-,Positive Fixed,3V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-39483-1-ND,TPS73233DBVR,Texas Instruments,IC REG LDO 3.3V 0.25A SOT23-5,2825,9000,1.46,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15813-1-ND,TPS73250DBVT,Texas Instruments,IC REG LDO 5V 0.25A SOT23-5,4957,10000,1.68,0,1,Cut Tape (CT),-,Positive Fixed,5V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-18255-1-ND,TPS73601DBVR,Texas Instruments,IC REG LDO ADJ 0.4A SOT23-5,33240,0,2.15,0,1,Cut Tape (CT),-,Positive Adjustable,1.2 V ~ 5.5 V,400mA,0.075V @ 400mA,1,1.7 V ~ 5.5 V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-27063-1-ND,TPS73618DBVR,Texas Instruments,IC REG LDO 1.8V 0.4A SOT23-5,5263,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-39487-1-ND,TPS73625DBVR,Texas Instruments,IC REG LDO 2.5V 0.4A SOT23-5,2850,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-41772-1-ND,TPS73630DBVR,Texas Instruments,IC REG LDO 3V 0.4A SOT23-5,2986,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,3V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps736.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-27064-1-ND,TPS73633DBVR,Texas Instruments,IC REG LDO 3.3V 0.4A SOT23-5,18039,9000,2.15,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,400mA,0.075V @ 400mA,1,Up to 5.5V,400mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085ISX-3.3/NOPBCT-ND,LM1085ISX-3.3/NOPB,Texas Instruments,IC REG LDO 3.3V 3A DDPAK,4665,10000,2.27,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,3A,1.3V @ 3A,1,Up to 27V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085ISX-ADJ/NOPBCT-ND,LM1085ISX-ADJ/NOPB,Texas Instruments,IC REG LDO ADJ 3A DDPAK,1479,10000,2.27,0,1,Cut Tape (CT),-,Positive Adjustable,1.2 V ~ 15 V,3A,1.3V @ 3A,1,2.6 V ~ 29 V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085IS-12/NOPB-ND,LM1085IS-12/NOPB,Texas Instruments,IC REG LDO 12V 3A DDPAK,3164,9990,2.72,0,1,Tube,-,Positive Fixed,12V,3A,1.3V @ 3A,1,Up to 18V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/lm1085.pdf,http://media.digikey.com/Renders/National%20Semi%20Renders/TS3B.jpg,LM1085IS-5.0/NOPB-ND,LM1085IS-5.0/NOPB,Texas Instruments,IC REG LDO 5V 3A DDPAK,1814,9990,2.72,0,1,Tube,-,Positive Fixed,5V,3A,1.3V @ 3A,1,Up to 25V,3.2A,-40°C ~ 125°C,Surface Mount,"TO-263-4, D²Pak (3 Leads + Tab), TO-263AA",DDPAK/TO-263-3,,,TO254P1435X464-4_HS,
http://www.ti.com/lit/ds/symlink/tps75925.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-29784-1-ND,TPS75901KTTR,Texas Instruments,IC REG LDO ADJ 7.5A DDPAK,832,10000,6.55,0,1,Cut Tape (CT),-,Positive Adjustable,1.22 V ~ 5 V,7.5A,0.4V @ 7.5A,1,2.8 V ~ 5.5 V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
http://www.ti.com/lit/ds/symlink/tps75925.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-15934-1-ND,TPS75933KTTT,Texas Instruments,IC REG LDO 3.3V 7.5A DDPAK,568,8700,6.75,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,7.5A,0.4V @ 7.5A,1,Up to 5.5V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
http://www.ti.com/lit/ds/symlink/tps75918.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-15932-1-ND,TPS75918KTTT,Texas Instruments,IC REG LDO 1.8V 7.5A DDPAK,869,2750,6.75,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,7.5A,-,1,2.8 V ~ 5.5 V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
http://www.ti.com/lit/ds/symlink/tps75925.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TS5B.jpg,296-15933-1-ND,TPS75925KTTT,Texas Instruments,IC REG LDO 2.5V 7.5A DDPAK,518,3750,6.75,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,7.5A,-,1,2.8 V ~ 5.5 V,8A,-40°C ~ 125°C,Surface Mount,"TO-263-6, D²Pak (5 Leads + Tab), TO-263BA",DDPAK/TO-263-5,,,TO170P1524X483-6_HS,
